measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,1,LogReg,f93,0.5906666666666667,0.0061101009266078055,0.0554818955391357,0.04658158241486948,0.015303225806451612,0.9965876623376623,0.013697271046858693,0.0037708617445497412
Hostility,1,SVM-linear,f93,0.5906666666666667,0.005734883511361759,0.052547656364960525,0.04709936756698535,0.014496774193548386,0.9971558441558441,0.013861333488413122,0.0028441706694745123
Hostility,1,SVM-rbf,f93,0.5983333333333334,0.009339283817414602,0.14729700939546442,0.05475600373948469,0.04431612903225807,0.9891948051948051,0.018470043806396285,0.008221569072250287
Hostility,1,RandomForest,f93,0.5343333333333333,0.032388269481403296,0.5067676245237109,0.03721110449247588,0.44074838709677416,0.600305194805195,0.0510198606530966,0.03343101649500591
Hostility,1,KNN,f93,0.5536666666666668,0.01608657134935153,0.5052463752312677,0.018841553359154998,0.38922580645161287,0.6697142857142857,0.026818928814700084,0.026277620218315045
Hostility,1,NaiveBayes,f93,0.592,0.00945163125250523,0.07786953236416418,0.06623712745605306,0.022561290322580644,0.9937435064935066,0.02157780587908954,0.004726743093278922
Hostility,1,DecisionTree,f93,0.5343333333333333,0.032388269481403296,0.5067676245237109,0.03721110449247588,0.44074838709677416,0.600305194805195,0.0510198606530966,0.03343101649500591
Hostility,1,XGBoost,f93,0.5696666666666667,0.017540429489230493,0.4899457403433415,0.019185056863221396,0.329541935483871,0.7390616883116883,0.02808354490225183,0.036024764519860746
Hostility,2,LogReg,"f93,f85",0.6003333333333334,0.012060035010083691,0.3836538250056133,0.03251464515757463,0.17163225806451615,0.9028051948051949,0.023907105166024484,0.017799305390659152
Hostility,2,SVM-linear,"f93,f85",0.5906666666666667,0.005734883511361759,0.052547656364960525,0.04709936756698535,0.014496774193548386,0.9971558441558441,0.013861333488413122,0.0028441706694745123
Hostility,2,SVM-rbf,"f93,f85",0.597,0.015452435981999003,0.38091799290173334,0.04351057777422291,0.1724258064516129,0.8965519480519479,0.03179453025295772,0.027994356013824877
Hostility,2,RandomForest,"f93,f85",0.5816666666666666,0.02120010482154379,0.538797408391693,0.026782475956930302,0.42540645161290325,0.6918344155844156,0.04195835406145367,0.032328847472502344
Hostility,2,KNN,"f93,f85",0.5703333333333332,0.017916472867168926,0.5194578650337969,0.01936248040704453,0.3940322580645161,0.6946850649350649,0.029318037903550906,0.03174169527356096
Hostility,2,NaiveBayes,"f93,f85",0.593,0.00887568463712957,0.08615879675445948,0.06454471076054467,0.024974193548387095,0.9937435064935066,0.021159686209853864,0.004726743093278922
Hostility,2,DecisionTree,"f93,f85",0.5526666666666666,0.020428737928059427,0.5297150723619849,0.02314784900049102,0.47218064516129027,0.6094285714285714,0.036713359983100144,0.027137117239359486
Hostility,2,XGBoost,"f93,f85",0.5860000000000001,0.020965580258021844,0.5364852011065449,0.025168716226043063,0.40775483870967744,0.7117467532467532,0.03310673056556467,0.029430473425772534
Hostility,3,LogReg,"f93,f85,f6",0.6043333333333334,0.01211518789692416,0.4179110879215117,0.02914113679426903,0.19985806451612903,0.889711038961039,0.022321886992765508,0.017450097814314038
Hostility,3,SVM-linear,"f93,f85,f6",0.5906666666666667,0.005734883511361759,0.052547656364960525,0.04709936756698535,0.014496774193548386,0.9971558441558441,0.013861333488413122,0.0028441706694745123
Hostility,3,SVM-rbf,"f93,f85,f6",0.6006666666666666,0.00840634680861233,0.3937384305145953,0.03898682690215369,0.18129032258064517,0.8965389610389611,0.03012461112827106,0.02179962201476223
Hostility,3,RandomForest,"f93,f85,f6",0.5816666666666666,0.031242776943016925,0.5304879619857378,0.036630478011399285,0.4020516129032258,0.7083441558441559,0.04664971913661961,0.042003765121295805
Hostility,3,KNN,"f93,f85,f6",0.5483333333333333,0.026635398334630644,0.498930895468764,0.027922970154167576,0.3834967741935484,0.6645746753246753,0.03430430995635514,0.04007610099830294
Hostility,3,NaiveBayes,"f93,f85,f6",0.5923333333333333,0.008569973421454942,0.10651963581296871,0.06347487684228503,0.0314258064516129,0.9880649350649351,0.02085804456062025,0.007383622297061965
Hostility,3,DecisionTree,"f93,f85,f6",0.5463333333333333,0.026518337470931748,0.5190582324800646,0.02971356495113507,0.45123870967741936,0.6134155844155844,0.044342943155594804,0.03539804141201953
