dataset,fold,measure,k,n_available_features,model,acc,gps
ArtificialDataset20,1,kDN_importances_norm,1,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,1,13,KNN,0.61,0.2771194165907019
ArtificialDataset20,1,kDN_importances_norm,2,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,2,13,KNN,0.55,0.2479489516864175
ArtificialDataset20,1,kDN_importances_norm,3,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,3,13,KNN,0.53,0.2781802376122863
ArtificialDataset20,1,kDN_importances_norm,4,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,4,13,KNN,0.54,0.243605359317905
ArtificialDataset20,1,kDN_importances_norm,5,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,5,13,KNN,0.6,0.3142857142857143
ArtificialDataset20,1,kDN_importances_norm,6,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,6,13,KNN,0.63,0.43021266194084573
ArtificialDataset20,1,kDN_importances_norm,7,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,7,13,KNN,0.63,0.4547368421052632
ArtificialDataset20,1,kDN_importances_norm,8,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,8,13,KNN,0.65,0.46982055464926586
ArtificialDataset20,1,kDN_importances_norm,9,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,9,13,KNN,0.67,0.4606001463771652
ArtificialDataset20,1,kDN_importances_norm,10,13,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset20,1,kDN_importances_norm,10,13,KNN,0.64,0.37662337662337664
ArtificialDataset20,1,kDN_importances_norm,11,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,11,13,KNN,0.58,0.2618181818181818
ArtificialDataset20,1,kDN_importances_norm,12,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,12,13,KNN,0.64,0.37662337662337664
ArtificialDataset20,1,kDN_importances_norm,13,13,SVM-rbf,0.68,0.0
ArtificialDataset20,1,kDN_importances_norm,13,13,KNN,0.71,0.4947239263803681
ArtificialDataset20,2,kDN_importances_norm,1,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,1,13,KNN,0.54,0.243605359317905
ArtificialDataset20,2,kDN_importances_norm,2,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,2,13,KNN,0.6,0.3506493506493506
ArtificialDataset20,2,kDN_importances_norm,3,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,3,13,KNN,0.61,0.3885890516576715
ArtificialDataset20,2,kDN_importances_norm,4,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,4,13,KNN,0.51,0.2690845276396607
ArtificialDataset20,2,kDN_importances_norm,5,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,5,13,KNN,0.58,0.30320366132723114
ArtificialDataset20,2,kDN_importances_norm,6,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,6,13,KNN,0.57,0.29790890862217134
ArtificialDataset20,2,kDN_importances_norm,7,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,7,13,KNN,0.6,0.3506493506493506
ArtificialDataset20,2,kDN_importances_norm,8,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,8,13,KNN,0.58,0.2131782945736434
